,country,crime_index
0,,
1,Venezuela,84.49
2,Papua New Guinea,81.93
3,South Africa,77.49
4,Afghanistan,76.23
5,Honduras,76.11
6,Trinidad And Tobago,73.19
7,Brazil,68.88
8,Peru,68.15
9,El Salvador,67.96
10,Guyana,67.66
11,Namibia,67.21
12,Syria,66.46
13,Jamaica,66.04
14,Puerto Rico,65.63
15,Angola,64.97
16,Bangladesh,63.94
17,Nigeria,63.77
18,Bahamas,62.86
19,Libya,62.19
20,Kazakhstan,62.02
21,Argentina,61.77
22,Kenya,61.66
23,Dominican Republic,61.16
24,Uganda,59.00
25,Tanzania,58.95
26,Fiji,58.92
27,Malaysia,58.84
28,Somalia,58.50
29,Mongolia,57.97
30,Guatemala,57.83
31,Zimbabwe,57.47
32,Costa Rica,56.33
33,Colombia,54.79
34,Mexico,53.97
35,Uruguay,53.81
36,Botswana,53.49
37,Maldives,53.21
38,Bolivia,52.93
39,Ecuador,50.90
40,Cambodia,50.66
41,Algeria,49.81
42,Paraguay,49.60
43,Iran,49.25
44,Ethiopia,49.21
45,Ghana,48.97
46,Ukraine,48.85
47,Morocco,48.69
48,Iraq,47.78
49,Mauritius,47.33
50,United States,47.20
51,Panama,47.19
52,Sweden,47.07
53,Egypt,46.92
54,France,46.79
55,Myanmar,45.86
56,Indonesia,45.84
57,Ireland,45.43
58,Vietnam,45.35
59,Chile,45.23
60,Moldova,44.98
61,Nicaragua,44.44
62,Italy,44.26
63,Pakistan,44.08
64,Belgium,43.98
65,United Kingdom,43.71
66,Palestine,43.59
67,Lebanon,43.36
68,India,43.32
69,Bosnia And Herzegovina,43.03
70,Philippines,42.16
71,Tunisia,41.88
72,Australia,41.36
73,Montenegro,41.18
74,Russia,41.12
75,New Zealand,40.93
76,Jordan,40.83
77,Thailand,40.48
78,Greece,40.32
79,Sri Lanka,40.22
80,Canada,39.67
81,Albania,39.52
82,Turkey,39.49
83,Malta,39.04
84,North Macedonia,38.67
85,Bulgaria,38.50
86,Serbia,37.41
87,Latvia,36.95
88,Norway,35.43
89,Hungary,35.08
90,Germany,34.81
91,Kuwait,34.75
92,Nepal,34.56
93,Luxembourg,33.39
94,Lithuania,33.06
95,Kosovo (Disputed Territory),32.91
96,Spain,31.96
97,China,31.83
98,Azerbaijan,31.61
99,Singapore,30.57
100,Cyprus,30.01
101,Portugal,29.63
102,Israel,29.60
103,Bahrain,29.29
104,Slovakia,29.22
105,Poland,28.50
106,South Korea,28.02
107,Brunei,27.68
108,Romania,27.64
109,Netherlands,27.62
110,Cuba,27.45
111,Saudi Arabia,26.18
112,Czech Republic,25.52
113,Denmark,25.10
114,Belarus,24.99
115,Croatia,24.71
116,Austria,23.73
117,Iceland,23.36
118,Finland,23.32
119,Estonia,23.14
120,Armenia,21.60
121,Switzerland,21.60
122,Slovenia,21.07
123,Oman,20.79
124,Hong Kong,20.70
125,Japan,20.66
126,Georgia,20.21
127,United Arab Emirates,15.70
128,Taiwan,15.65
129,Qatar,11.86
