,Age,Homicide and related offences,Acts intended to cause injury,Sexual assault and related offences,Dangerous or negligent acts endangering persons,"Abduction, harassment and other offences against the person","Robbery, extortion and related offences",Unlawful entry with intent,Theft and related offences,"Fraud, deception and related offences",Illicit drug offences,Prohibited and regulated weapons and explosives offences,Property damage and environmental pollution,Public order offences,Traffic and vehicle regulatory offences,"Offences against justice procedures, gov't security and operations",Miscellaneous offences,Total,prop_total,country
0,18,12,57,20,9,0,45,49,7,4,9,7,3,0,0,5,0,225,0.52,AU
1,19,24,157,29,28,8,85,91,20,6,29,4,13,7,0,26,0,533,1.24,AU
2,20–24,219,1459,358,301,61,704,666,206,54,534,114,77,28,42,436,7,5283,12.28,AU
3,25–29,395,2060,518,403,135,723,806,327,108,1201,185,123,34,111,619,13,7763,18.04,AU
4,30–34,444,1912,654,358,120,562,804,321,157,1354,176,99,34,107,629,14,7756,18.03,AU
5,35–39,469,1660,648,269,99,437,725,289,165,1081,165,91,39,105,570,16,6829,15.87,AU
6,40–44,432,1134,627,161,61,293,517,187,118,842,96,79,28,65,392,5,5055,11.75,AU
7,45–49,391,754,663,98,46,136,322,117,114,610,53,52,17,74,326,8,3788,8.8,AU
8,50–54,315,392,572,60,23,68,139,45,66,405,23,26,10,33,143,8,2333,5.42,AU
9,55–59,227,163,449,13,17,28,41,19,78,276,10,17,9,23,50,7,1422,3.31,AU
10,60–64,147,58,354,4,3,10,9,13,23,137,8,11,0,3,31,4,810,1.88,AU
11,65+,194,32,780,6,3,6,3,12,43,103,3,3,0,5,13,8,1225,2.85,AU
