,Age,count,gender,Imprisonment_rate,prop_total,country
0,18,211,M,132.6,0.49,AU
1,19,489,M,293.0,1.14,AU
2,20–24,4795,M,530.5,11.14,AU
3,25–29,7122,M,745.3,16.55,AU
4,30–34,7108,M,764.0,16.52,AU
5,35–39,6236,M,710.2,14.49,AU
6,40–44,4642,M,585.0,10.79,AU
7,45–49,3471,M,421.4,8.07,AU
8,50–54,2170,M,289.3,5.04,AU
9,55–59,1314,M,174.0,3.05,AU
10,60–64,785,M,116.8,1.82,AU
11,65+,1197,M,63.8,2.78,AU
0,18,11,F,7.3,0.03,AU
1,19,41,F,26.1,0.1,AU
2,20–24,494,F,57.5,1.15,AU
3,25–29,646,F,68.2,1.5,AU
4,30–34,642,F,67.3,1.49,AU
5,35–39,595,F,66.9,1.38,AU
6,40–44,417,F,52.0,0.97,AU
7,45–49,317,F,37.2,0.74,AU
8,50–54,168,F,21.4,0.39,AU
9,55–59,110,F,14.0,0.26,AU
10,60–64,29,F,4.1,0.07,AU
11,65+,27,F,1.3,0.06,AU
