,country_code,crime_index
0,VE,84.49
1,PG,81.93
2,ZA,77.49
3,AF,76.23
4,HN,76.11
5,TT,73.19
6,BR,68.88
7,PE,68.15
8,SV,67.96
9,GY,67.66
10,NA,67.21
11,SY,66.46
12,JM,66.04
13,PR,65.63
14,AO,64.97
15,BD,63.94
16,NG,63.77
17,BS,62.86
18,LY,62.19
19,KZ,62.02
20,AR,61.77
21,KE,61.66
22,DO,61.16
23,UG,59.00
24,TZ,58.95
25,FJ,58.92
26,MY,58.84
27,SO,58.50
28,MN,57.97
29,GT,57.83
30,ZW,57.47
31,CR,56.33
32,CO,54.79
33,MX,53.97
34,UY,53.81
35,BW,53.49
36,MV,53.21
37,BO,52.93
38,EC,50.90
39,KH,50.66
40,DZ,49.81
41,PY,49.60
42,IR,49.25
43,ET,49.21
44,GH,48.97
45,UA,48.85
46,MA,48.69
47,IQ,47.78
48,MU,47.33
49,US,47.20
50,PA,47.19
51,SE,47.07
52,EG,46.92
53,FR,46.79
54,MM,45.86
55,ID,45.84
56,IE,45.43
57,VN,45.35
58,CL,45.23
59,MD,44.98
60,NI,44.44
61,IT,44.26
62,PK,44.08
63,BE,43.98
64,GB,43.71
65,PS,43.59
66,LB,43.36
67,IN,43.32
68,BA,43.03
69,PH,42.16
70,TN,41.88
71,AU,41.36
72,ME,41.18
73,RU,41.12
74,NZ,40.93
75,JO,40.83
76,TH,40.48
77,GR,40.32
78,LK,40.22
79,CA,39.67
80,AL,39.52
81,TR,39.49
82,MT,39.04
83,MK,38.67
84,BG,38.50
85,RS,37.41
86,LV,36.95
87,NO,35.43
88,HU,35.08
89,DE,34.81
90,KW,34.75
91,NP,34.56
92,LU,33.39
93,LT,33.06
94,XK,32.91
95,ES,31.96
96,CN,31.83
97,AZ,31.61
98,SG,30.57
99,CY,30.01
100,PT,29.63
101,IL,29.60
102,BH,29.29
103,SK,29.22
104,PL,28.50
105,KR,28.02
106,BN,27.68
107,RO,27.64
108,AN,27.62
109,CU,27.45
110,SA,26.18
111,CZ,25.52
112,DK,25.10
113,BY,24.99
114,HR,24.71
115,AT,23.73
116,IS,23.36
117,FI,23.32
118,EE,23.14
119,AM,21.60
120,CH,21.60
121,SI,21.07
122,OM,20.79
123,HK,20.70
124,JP,20.66
125,GE,20.21
126,AE,15.70
127,TW,15.65
128,QA,11.86
