,country_code,quantity
0,AF,3902368.61
1,AL,665302.52
2,DZ,1074963.04
3,AD,146.68
4,AO,17222.12
5,AI,0.0
6,AG,6935.75
7,AR,2498455.78
8,AM,1760.91
9,AW,1515.03
10,AU,374664.6
11,AT,27411.21
12,AZ,285954.32
13,BS,1058379.93
14,BH,53357.19
15,BD,840124.7
16,BB,20233.97
17,BY,167448.72
18,BE,629441.33
19,BZ,466674.11
20,BJ,150983.71
21,BM,2.5
22,BT,670.3
23,BO,12064667.48
24,BA,11390.05
25,BW,1721.63
26,BR,4508571.89
27,VG,0.0
28,BN,1491.25
29,BG,205773.03
30,BF,204429.3
31,CV,5035.0
32,KH,4114.35
33,CM,899.18
34,CA,1663731.82
35,KY,0.0
36,CF,613.67
37,TD,15158.22
38,CL,645509.18
39,CN,473036.61
40,CN,35660.02
41,CN,473.43
42,CN,35885.12
43,CC,0.0
44,CO,14347911.7
45,CG,0.0
46,CK,0.0
47,CR,2015470.92
48,HR,49050.17
49,CU,28078.8
50,CY,20464.9
51,CZ,48941.78
52,CZ,0.0
53,CI,45926.87
54,CD,12.0
55,DK,94715.43
56,DM,117875.83
57,DO,112878.89
58,EC,1280869.41
59,EG,2161340.26
60,SV,49793.53
61,GQ,0.0
62,EE,4606.91
63,SZW,50910.38
64,FK,30.0
65,DE,0.0
66,FI,60300.97
67,FR,1182439.32
68,GF,0.0
69,PF,0.0
70,GA,2563.79
71,GM,16973.89
72,GE,12226.24
73,DE,0.0
74,DE,455614.75
75,GH,67103.56
76,GI,30.38
77,GR,275028.47
78,GD,9538.51
79,GP,2895.0
80,GT,167099570.27
81,GN,3.0
82,GW,0.0
83,GY,1710120.67
84,HT,18036.18
85,HN,225120.21
86,HU,27146.52
87,IS,5584.9
88,IN,3598578.73
89,ID,1421395.88
90,IR,6792749.4
91,IQ,6292.44
92,IE,57088.71
93,IL,65996.24
94,IT,1603047.81
95,JM,2018076.31
96,JP,20714.71
97,JO,81699.6
98,KZ,329247.81
99,XK,11652.36
100,KW,2014.24
101,KG,203283.21
102,LAK,39456.91
103,LV,6956.36
104,LB,158428.79
105,LS,0.0
106,LR,29238.23
107,LY,0.0
108,LI,22.9
109,LT,10273.91
110,LU,1872.87
111,MW,26615.0
112,MY,834773.29
113,MV,4.6
114,ML,14510.48
115,MT,32097.32
116,MQ,2879.0
117,MR,0.0
118,MX,14622298.67
119,MC,0.68
120,MN,3225.82
121,ME,16021.34
122,MS,0.0
123,MA,4140824.49
124,MZ,178712.73
125,MM,348385.91
126,NA,28070.27
127,NP,37976.6
128,AN,2205310.04
129,AN,1972.2
130,NZ,95323.2
131,NI,103599.08
132,NE,20525.02
133,NG,3487886.4
134,MK,11860.78
135,NO,60128.8
136,OM,14433.42
137,PK,3554489.69
138,PA,603726.89
139,PY,10361022.89
140,PE,16020762.34
141,PH,5244132.58
142,PL,202703.44
143,PT,284213.58
144,PR,17170.66
145,QA,13988.48
146,KR,42472.17
147,MD,190127.21
148,RO,11549.34
149,RU,370669.82
150,SH,0.0
151,KN,1545.59
152,LC,237252.87
153,VC,39654.65
154,SM,0.0
155,ST,0.0
156,SA,1284071.31
157,SN,63097.6
158,RS,26382.04
159,RS,0.0
160,SL,21125.37
161,SG,1319.81
162,SK,15085.7
163,SI,18764.98
164,ZA,300823.1
165,ES,5364093.89
166,LK,658557.74
167,PS,25556.99
168,SD,666451.78
169,SR,21709.29
170,SE,115111.45
171,CH,114215.59
172,SY,63645.39
173,TJ,648081.05
174,TH,687166.47
175,TG,11305.12
176,TO,0.0
177,TT,1332309.56
178,TN,16327.93
179,TR,1541933.59
180,TM,8410.96
181,TC,0.0
182,SU,0.0
183,UA,235350.97
184,AE,37847.97
185,GB,1028954.18
186,US,0.0
187,US,21084573.59
188,UY,31055.9
189,UZ,34085.14
190,VE,756421.3
191,VN,52439.14
192,YE,40449.72
193,ZM,567144.98
194,ZW,116.49
